PurchaseOrderID,SupplierID,SupplierName,ProductID,OrderDate,ExpectedDeliveryDate,Quantity,UnitCost,POStatus
PO202607230000,SUP011,Global Accessories Egypt,P0073,2026-07-23,2026-08-02,66,17989.99,Received
PO202607230000,SUP011,Global Accessories Egypt,P0302,2026-07-23,2026-08-02,70,34938.66,Received
PO202607230000,SUP015,Digital Gate,P0221,2026-07-23,2026-07-28,24,41186.94,Received
PO202607230001,SUP002,Delta Electronics Supply,P0181,2026-07-23,2026-08-12,55,26022.37,Approved
PO202607230001,SUP015,Digital Gate,P0283,2026-07-23,2026-07-31,69,366.64,Open
PO202607230001,SUP008,Future Appliances,P0011,2026-07-23,2026-08-07,17,25280.68,Open
PO202607230002,SUP016,Pioneer Retail Supplies,P0202,2026-07-23,2026-07-27,77,10654.59,Received
PO202607230002,SUP007,HomeTech Distributors,P0137,2026-07-23,2026-08-04,90,4675.07,Open
PO202607230002,SUP007,HomeTech Distributors,P0007,2026-07-23,2026-08-05,14,1501.08,Received
PO202607230003,SUP005,Alex Import & Trade,P0050,2026-07-23,2026-08-02,98,11204.25,Received
PO202607230003,SUP017,ElectroHub Egypt,P0137,2026-07-23,2026-07-29,36,5024.34,Received
PO202607230003,SUP004,Cairo Digital Trading,P0313,2026-07-23,2026-07-30,7,51727.54,Received
PO202607230004,SUP004,Cairo Digital Trading,P0156,2026-07-23,2026-08-06,111,29632.52,Received
PO202607230004,SUP009,Arabian Electronics,P0229,2026-07-23,2026-07-26,89,55897.20,Received
PO202607230004,SUP011,Global Accessories Egypt,P0211,2026-07-23,2026-07-27,20,3587.49,Approved
PO202607230005,SUP003,Nile Retail Supply,P0241,2026-07-23,2026-07-31,23,53577.92,Received
PO202607230005,SUP012,Canal Trading Co.,P0167,2026-07-23,2026-07-29,20,12342.50,Approved
PO202607230005,SUP009,Arabian Electronics,P0281,2026-07-23,2026-07-30,42,3408.77,Received
PO202607230006,SUP016,Pioneer Retail Supplies,P0064,2026-07-23,2026-07-25,110,2700.37,Open
PO202607230006,SUP006,Smart Devices MENA,P0212,2026-07-23,2026-07-30,58,182.59,Received
PO202607230006,SUP012,Canal Trading Co.,P0142,2026-07-23,2026-08-01,91,11633.34,Approved
PO202607230007,SUP014,MegaHome Supply,P0186,2026-07-23,2026-08-01,97,9533.43,Approved
PO202607230007,SUP005,Alex Import & Trade,P0132,2026-07-23,2026-08-07,37,13664.63,Open
PO202607230007,SUP010,Prime IT Supply,P0058,2026-07-23,2026-07-30,80,12328.86,Partial
PO202607230008,SUP012,Canal Trading Co.,P0053,2026-07-23,2026-08-12,66,25819.48,Approved
PO202607230008,SUP001,Tech Distribution Egypt,P0238,2026-07-23,2026-07-31,8,10170.80,Approved
PO202607230008,SUP016,Pioneer Retail Supplies,P0295,2026-07-23,2026-08-04,86,16911.87,Received
PO202607230009,SUP001,Tech Distribution Egypt,P0257,2026-07-23,2026-08-04,74,1106.52,Received
PO202607230009,SUP006,Smart Devices MENA,P0203,2026-07-23,2026-08-05,98,30132.70,Received
PO202607230009,SUP003,Nile Retail Supply,P0133,2026-07-23,2026-08-05,87,36296.05,Received
PO202607230010,SUP017,ElectroHub Egypt,P0207,2026-07-23,2026-08-07,23,39343.54,Received
PO202607230010,SUP007,HomeTech Distributors,P0131,2026-07-23,2026-08-05,28,17358.59,Open
PO202607230010,SUP005,Alex Import & Trade,P0253,2026-07-23,2026-07-26,36,41928.73,Received
PO202607230011,SUP011,Global Accessories Egypt,P0147,2026-07-23,2026-08-01,28,8299.29,Approved
PO202607230011,SUP014,MegaHome Supply,P0063,2026-07-23,2026-07-27,65,20774.14,Open
PO202607230011,SUP004,Cairo Digital Trading,P0037,2026-07-23,2026-08-03,51,33738.76,Received
PO202607230012,SUP017,ElectroHub Egypt,P0198,2026-07-23,2026-07-27,86,34999.85,Received
PO202607230012,SUP007,HomeTech Distributors,P0290,2026-07-23,2026-07-28,33,3355.14,Received
PO202607230012,SUP009,Arabian Electronics,P0005,2026-07-23,2026-08-01,72,37511.52,Open
PO202607230013,SUP004,Cairo Digital Trading,P0136,2026-07-23,2026-07-27,89,6398.39,Partial
PO202607230013,SUP016,Pioneer Retail Supplies,P0151,2026-07-23,2026-07-27,119,3746.61,Approved
PO202607230013,SUP004,Cairo Digital Trading,P0221,2026-07-23,2026-08-07,13,48641.59,Approved
PO202607230014,SUP016,Pioneer Retail Supplies,P0317,2026-07-23,2026-07-31,10,42452.69,Received
PO202607230014,SUP001,Tech Distribution Egypt,P0127,2026-07-23,2026-07-25,73,17332.00,Received
PO202607230014,SUP012,Canal Trading Co.,P0061,2026-07-23,2026-08-04,8,49444.35,Open
PO202607230015,SUP006,Smart Devices MENA,P0303,2026-07-23,2026-08-04,34,11563.75,Received
PO202607230015,SUP018,United Consumer Tech,P0023,2026-07-23,2026-08-03,92,12687.31,Approved
PO202607230015,SUP003,Nile Retail Supply,P0128,2026-07-23,2026-08-02,28,2128.02,Open
PO202607230016,SUP017,ElectroHub Egypt,P0065,2026-07-23,2026-08-04,82,4416.49,Open
PO202607230016,SUP011,Global Accessories Egypt,P0088,2026-07-23,2026-07-27,83,1593.12,Partial
PO202607230016,SUP001,Tech Distribution Egypt,P0204,2026-07-23,2026-08-08,18,29695.23,Received
PO202607230017,SUP012,Canal Trading Co.,P0248,2026-07-23,2026-07-30,94,2052.87,Approved
PO202607230017,SUP006,Smart Devices MENA,P0230,2026-07-23,2026-08-12,105,9680.07,Received
PO202607230017,SUP001,Tech Distribution Egypt,P0212,2026-07-23,2026-08-03,98,157.18,Approved
PO202607230018,SUP015,Digital Gate,P0112,2026-07-23,2026-08-02,27,5719.42,Partial
PO202607230018,SUP002,Delta Electronics Supply,P0130,2026-07-23,2026-08-02,9,36624.59,Received
PO202607230018,SUP015,Digital Gate,P0204,2026-07-23,2026-08-11,94,29742.15,Partial
PO202607230019,SUP017,ElectroHub Egypt,P0076,2026-07-23,2026-07-25,54,5283.11,Received
PO202607230019,SUP006,Smart Devices MENA,P0202,2026-07-23,2026-08-08,20,12909.03,Approved
PO202607230019,SUP003,Nile Retail Supply,P0046,2026-07-23,2026-07-29,99,15512.66,Received
PO202607230020,SUP012,Canal Trading Co.,P0136,2026-07-23,2026-07-27,36,6267.99,Received
PO202607230020,SUP017,ElectroHub Egypt,P0208,2026-07-23,2026-07-25,100,4923.57,Approved
PO202607230020,SUP001,Tech Distribution Egypt,P0024,2026-07-23,2026-08-05,17,2330.65,Approved
PO202607230021,SUP017,ElectroHub Egypt,P0189,2026-07-23,2026-07-25,58,632.33,Approved
PO202607230021,SUP002,Delta Electronics Supply,P0046,2026-07-23,2026-07-28,70,15909.97,Open
PO202607230021,SUP015,Digital Gate,P0038,2026-07-23,2026-08-01,88,8132.55,Received
PO202607230022,SUP007,HomeTech Distributors,P0128,2026-07-23,2026-08-08,38,1935.73,Approved
PO202607230022,SUP012,Canal Trading Co.,P0158,2026-07-23,2026-07-30,35,4638.47,Received
PO202607230022,SUP010,Prime IT Supply,P0077,2026-07-23,2026-08-08,27,49921.50,Open
PO202607230023,SUP004,Cairo Digital Trading,P0272,2026-07-23,2026-08-10,34,1612.16,Received
PO202607230023,SUP002,Delta Electronics Supply,P0163,2026-07-23,2026-08-12,67,757.65,Approved
PO202607230023,SUP005,Alex Import & Trade,P0208,2026-07-23,2026-08-06,86,4387.97,Received
PO202607230024,SUP011,Global Accessories Egypt,P0319,2026-07-23,2026-08-08,74,10636.32,Approved
PO202607230024,SUP011,Global Accessories Egypt,P0281,2026-07-23,2026-07-25,16,3267.64,Received
PO202607230024,SUP014,MegaHome Supply,P0186,2026-07-23,2026-08-12,52,8651.23,Open
PO202607230025,SUP007,HomeTech Distributors,P0213,2026-07-23,2026-08-05,58,2425.53,Open
PO202607230025,SUP009,Arabian Electronics,P0143,2026-07-23,2026-08-05,46,23050.04,Open
PO202607230025,SUP002,Delta Electronics Supply,P0029,2026-07-23,2026-08-02,107,8191.87,Received
PO202607230026,SUP009,Arabian Electronics,P0030,2026-07-23,2026-08-11,112,17841.91,Open
PO202607230026,SUP017,ElectroHub Egypt,P0122,2026-07-23,2026-08-10,21,8268.90,Approved
PO202607230026,SUP012,Canal Trading Co.,P0088,2026-07-23,2026-08-12,19,1519.00,Approved
PO202607230027,SUP005,Alex Import & Trade,P0293,2026-07-23,2026-08-04,119,23273.22,Received
PO202607230027,SUP018,United Consumer Tech,P0220,2026-07-23,2026-08-11,27,10228.86,Open
PO202607230027,SUP012,Canal Trading Co.,P0280,2026-07-23,2026-08-11,70,4823.21,Received
PO202607230028,SUP018,United Consumer Tech,P0070,2026-07-23,2026-07-28,22,8204.10,Open
PO202607230028,SUP017,ElectroHub Egypt,P0154,2026-07-23,2026-08-05,75,15067.18,Partial
PO202607230028,SUP008,Future Appliances,P0124,2026-07-23,2026-08-02,71,751.64,Approved
PO202607230029,SUP008,Future Appliances,P0053,2026-07-23,2026-07-30,50,23637.64,Received
PO202607230029,SUP009,Arabian Electronics,P0221,2026-07-23,2026-08-03,14,46652.21,Received
PO202607230029,SUP017,ElectroHub Egypt,P0077,2026-07-23,2026-08-07,41,52712.74,Received
PO202607230030,SUP014,MegaHome Supply,P0132,2026-07-23,2026-08-02,36,13229.80,Partial
PO202607230030,SUP002,Delta Electronics Supply,P0313,2026-07-23,2026-08-11,48,45829.52,Approved
PO202607230030,SUP007,HomeTech Distributors,P0205,2026-07-23,2026-08-05,54,51025.33,Approved
PO202607230031,SUP010,Prime IT Supply,P0238,2026-07-23,2026-08-10,115,10966.87,Received
PO202607230031,SUP004,Cairo Digital Trading,P0312,2026-07-23,2026-08-03,110,688.40,Received
PO202607230031,SUP018,United Consumer Tech,P0212,2026-07-23,2026-07-30,64,159.23,Received
PO202607230032,SUP008,Future Appliances,P0131,2026-07-23,2026-07-31,30,16752.51,Received
PO202607230032,SUP010,Prime IT Supply,P0216,2026-07-23,2026-08-02,95,1670.93,Received
PO202607230032,SUP005,Alex Import & Trade,P0299,2026-07-23,2026-08-10,18,40706.72,Open
PO202607230033,SUP009,Arabian Electronics,P0202,2026-07-23,2026-07-29,49,10979.49,Received
PO202607230033,SUP004,Cairo Digital Trading,P0094,2026-07-23,2026-08-07,8,5450.95,Received
PO202607230033,SUP014,MegaHome Supply,P0002,2026-07-23,2026-08-02,46,12046.16,Open
PO202607230034,SUP006,Smart Devices MENA,P0041,2026-07-23,2026-08-09,26,2149.86,Received
PO202607230034,SUP002,Delta Electronics Supply,P0109,2026-07-23,2026-08-07,30,61272.68,Approved
PO202607230034,SUP011,Global Accessories Egypt,P0188,2026-07-23,2026-07-29,116,4062.72,Partial
PO202607230035,SUP009,Arabian Electronics,P0030,2026-07-23,2026-08-10,51,16963.81,Open
PO202607230035,SUP007,HomeTech Distributors,P0167,2026-07-23,2026-08-02,27,10795.69,Open
PO202607230035,SUP002,Delta Electronics Supply,P0005,2026-07-23,2026-07-26,119,39548.64,Received
PO202607230036,SUP018,United Consumer Tech,P0289,2026-07-23,2026-07-27,14,23942.87,Open
PO202607230036,SUP012,Canal Trading Co.,P0043,2026-07-23,2026-08-01,67,1276.64,Received
PO202607230036,SUP004,Cairo Digital Trading,P0284,2026-07-23,2026-07-29,83,2513.18,Received
PO202607230037,SUP007,HomeTech Distributors,P0052,2026-07-23,2026-07-26,12,10212.78,Received
PO202607230037,SUP014,MegaHome Supply,P0250,2026-07-23,2026-08-08,44,34839.31,Partial
PO202607230037,SUP014,MegaHome Supply,P0214,2026-07-23,2026-08-03,22,12211.06,Received
PO202607230038,SUP006,Smart Devices MENA,P0094,2026-07-23,2026-08-03,88,5385.76,Received
PO202607230038,SUP002,Delta Electronics Supply,P0233,2026-07-23,2026-07-28,90,4410.16,Open
PO202607230038,SUP007,HomeTech Distributors,P0041,2026-07-23,2026-08-10,84,2331.28,Open
PO202607230039,SUP015,Digital Gate,P0235,2026-07-23,2026-08-05,6,2053.68,Received
PO202607230039,SUP018,United Consumer Tech,P0067,2026-07-23,2026-08-07,95,3200.53,Approved
PO202607230039,SUP007,HomeTech Distributors,P0022,2026-07-23,2026-07-30,47,4025.55,Partial
PO202607230040,SUP004,Cairo Digital Trading,P0140,2026-07-23,2026-08-03,52,3121.69,Received
PO202607230040,SUP009,Arabian Electronics,P0042,2026-07-23,2026-08-05,114,4906.96,Approved
PO202607230040,SUP009,Arabian Electronics,P0192,2026-07-23,2026-08-11,35,1051.65,Approved
PO202607230041,SUP007,HomeTech Distributors,P0285,2026-07-23,2026-08-08,110,1700.33,Open
PO202607230041,SUP004,Cairo Digital Trading,P0167,2026-07-23,2026-08-09,25,10884.47,Open
PO202607230041,SUP008,Future Appliances,P0301,2026-07-23,2026-08-04,107,56339.18,Approved
PO202607230042,SUP003,Nile Retail Supply,P0128,2026-07-23,2026-08-01,52,1931.67,Approved
PO202607230042,SUP008,Future Appliances,P0083,2026-07-23,2026-08-12,49,30548.34,Received
PO202607230042,SUP004,Cairo Digital Trading,P0096,2026-07-23,2026-08-06,32,1649.47,Received
PO202607230043,SUP009,Arabian Electronics,P0283,2026-07-23,2026-07-27,41,368.09,Received
PO202607230043,SUP011,Global Accessories Egypt,P0014,2026-07-23,2026-08-07,104,21543.34,Open
PO202607230043,SUP011,Global Accessories Egypt,P0188,2026-07-23,2026-08-08,37,4153.90,Received
PO202607230044,SUP012,Canal Trading Co.,P0023,2026-07-23,2026-08-07,48,12029.97,Received
