PurchaseOrderID,SupplierID,SupplierName,ProductID,OrderDate,ExpectedDeliveryDate,Quantity,UnitCost,POStatus
PO202607290000,SUP012,Canal Trading Co.,P0035,2026-07-29,2026-08-11,12,10592.80,Received
PO202607290000,SUP010,Prime IT Supply,P0025,2026-07-29,2026-08-01,11,38872.77,Received
PO202607290000,SUP014,MegaHome Supply,P0131,2026-07-29,2026-08-14,54,15619.43,Approved
PO202607290001,SUP008,Future Appliances,P0270,2026-07-29,2026-07-31,61,29309.59,Received
PO202607290001,SUP013,North Coast Distribution,P0142,2026-07-29,2026-08-15,81,11318.00,Received
PO202607290001,SUP015,Digital Gate,P0163,2026-07-29,2026-08-14,18,757.94,Approved
PO202607290002,SUP012,Canal Trading Co.,P0214,2026-07-29,2026-08-17,74,13178.84,Received
PO202607290002,SUP013,North Coast Distribution,P0281,2026-07-29,2026-08-07,84,3113.44,Received
PO202607290002,SUP001,Tech Distrib. Egypt,P0177,2026-07-29,2026-08-12,22,55989.97,Open
PO202607290003,SUP011,Global Accessories Egypt,P0109,2026-07-29,2026-08-16,12,54209.02,Open
PO202607290003,SUP008,Future Appliances,P0286,2026-07-29,2026-08-14,69,12417.87,Received
PO202607290003,SUP004,Cairo Digital Trading,P0187,2026-07-29,2026-08-08,92,660.85,Approved
PO202607290004,SUP005,Alex Import & Trade,P0062,2026-07-29,2026-08-08,29,15597.88,Approved
PO202607290004,SUP003,Nile Retail Supply,P0199,2026-07-29,2026-07-31,66,12803.05,Open
PO202607290004,SUP007,HomeTech Distributors,P0073,2026-07-29,2026-08-02,72,18660.40,Received
PO202607290005,SUP006,Smart Devices MENA,P0082,2026-07-29,2026-08-01,71,27389.47,Approved
PO202607290005,SUP017,ElectroHub Egypt,P0084,2026-07-29,2026-08-05,79,25730.84,Partial
PO202607290005,SUP008,Future Appliances,P0143,2026-07-29,2026-08-04,55,20822.97,Received
PO202607290006,SUP008,Future Appliances,P0029,2026-07-29,2026-08-08,53,8112.71,Approved
PO202607290006,SUP011,Global Accessories Egypt,P0002,2026-07-29,2026-08-07,93,11596.83,Received
PO202607290006,SUP011,Global Accessories Egypt,P0044,2026-07-29,2026-08-16,57,184.04,Received
PO202607290007,SUP007,HomeTech Distributors,P0014,2026-07-29,2026-08-07,17,22916.58,Received
PO202607290007,SUP018,United Consumer Tech,P0180,2026-07-29,2026-08-07,99,6810.10,Approved
PO202607290007,SUP002,Delta Electronics Supply,P0056,2026-07-29,2026-08-08,52,1359.58,Received
PO202607290008,SUP005,Alex Import & Trade,P0288,2026-07-29,2026-08-01,54,2125.92,Approved
PO202607290008,SUP006,Smart Devices MENA,P0105,2026-07-29,2026-08-10,8,41004.40,Received
PO202607290008,SUP005,Alex Import & Trade,P0064,2026-07-29,2026-08-07,99,2527.92,Received
PO202607290009,SUP012,Canal Trading Co.,P0089,2026-07-29,2026-07-31,78,2130.92,Open
