PurchaseOrderID,SupplierID,SupplierName,ProductID,OrderDate,ExpectedDeliveryDate,Quantity,UnitCost,POStatus
PO202607030000,SUP005,Alex Import & Trade,P0128,2026-07-03,2026-07-20,50,2297.47,Received
PO202607030000,SUP001,Tech Distribution Egypt,P0274,2026-07-03,2026-07-20,50,17122.79,Received
PO202607030000,SUP008,Future Appliances,P0053,2026-07-03,2026-07-12,89,25480.44,Received
PO202607030001,SUP014,MegaHome Supply,P0259,2026-07-03,2026-07-08,111,374.30,Approved
PO202607030001,SUP016,Pioneer Retail Supplies,P0309,2026-07-03,2026-07-17,25,4880.70,Received
PO202607030001,SUP001,Tech Distribution Egypt,P0315,2026-07-03,2026-07-19,79,1776.46,Approved
PO202607030002,SUP008,Future Appliances,P0196,2026-07-03,2026-07-05,13,1778.92,Open
PO202607030002,SUP009,Arabian Electronics,P0297,2026-07-03,2026-07-19,67,57121.85,Received
PO202607030002,SUP010,Prime IT Supply,P0316,2026-07-03,2026-07-10,46,9720.20,Approved
PO202607030003,SUP009,Arabian Electronics,P0131,2026-07-03,2026-07-08,54,15796.24,Received
PO202607030003,SUP002,Delta Electronics Supply,P0231,2026-07-03,2026-07-09,79,27277.46,Open
PO202607030003,SUP002,Delta Electronics Supply,P0038,2026-07-03,2026-07-05,38,8428.67,Received
PO202607030004,SUP010,Prime IT Supply,P0038,2026-07-03,2026-07-14,106,7972.54,Open
PO202607030004,SUP002,Delta Electronics Supply,P0146,2026-07-03,2026-07-17,74,10430.67,Approved
PO202607030004,SUP011,Global Accessories Egypt,P0276,2026-07-03,2026-07-14,35,26077.39,Received
PO202607030005,SUP011,Global Accessories Egypt,P0181,2026-07-03,2026-07-09,13,30064.26,Received
PO202607030005,SUP004,Cairo Digital Trading,P0081,2026-07-03,2026-07-09,95,33802.69,Received
PO202607030005,SUP017,ElectroHub Egypt,P0293,2026-07-03,2026-07-21,97,24107.53,Received
PO202607030006,SUP009,Arabian Electronics,P0083,2026-07-03,2026-07-20,12,29805.10,Received
PO202607030006,SUP010,Prime IT Supply,P0022,2026-07-03,2026-07-19,22,4274.78,Received
PO202607030006,SUP009,Arabian Electronics,P0049,2026-07-03,2026-07-22,58,17216.51,Partial
PO202607030007,SUP003,Nile Retail Supply,P0027,2026-07-03,2026-07-12,61,5581.02,Received
PO202607030007,SUP004,Cairo Digital Trading,P0118,2026-07-03,2026-07-15,105,4722.52,Open
PO202607030007,SUP014,MegaHome Supply,P0076,2026-07-03,2026-07-13,25,5076.89,Approved
PO202607030008,SUP010,Prime IT Supply,P0008,2026-07-03,2026-07-11,44,659.80,Partial
PO202607030008,SUP012,Canal Trading Co.,P0305,2026-07-03,2026-07-05,74,3348.73,Received
PO202607030008,SUP004,Cairo Digital Trading,P0133,2026-07-03,2026-07-18,89,41643.63,Open
PO202607030009,SUP014,MegaHome Supply,P0221,2026-07-03,2026-07-10,54,43295.61,Approved
PO202607030009,SUP012,Canal Trading Co.,P0120,2026-07-03,2026-07-07,75,2903.24,Approved
PO202607030009,SUP014,MegaHome Supply,P0178,2026-07-03,2026-07-07,104,36664.46,Received
PO202607030010,SUP004,Cairo Digital Trading,P0037,2026-07-03,2026-07-23,110,34102.64,Received
PO202607030010,SUP012,Canal Trading Co.,P0014,2026-07-03,2026-07-08,11,22210.23,Received
PO202607030010,SUP008,Future Appliances,P0156,2026-07-03,2026-07-21,94,30134.69,Open
PO202607030011,SUP014,MegaHome Supply,P0060,2026-07-03,2026-07-18,64,13899.94,Approved
PO202607030011,SUP002,Delta Electronics Supply,P0165,2026-07-03,2026-07-23,44,5539.45,Received
PO202607030011,SUP001,Tech Distribution Egypt,P0223,2026-07-03,2026-07-20,18,6160.44,Approved
PO202607030012,SUP017,ElectroHub Egypt,P0297,2026-07-03,2026-07-11,7,54603.45,Open
PO202607030012,SUP001,Tech Distribution Egypt,P0171,2026-07-03,2026-07-07,38,5548.34,Received
PO202607030012,SUP010,Prime IT Supply,P0311,2026-07-03,2026-07-13,88,13509.53,Approved
PO202607030013,SUP015,Digital Gate,P0273,2026-07-03,2026-07-21,33,16978.29,Approved
PO202607030013,SUP004,Cairo Digital Trading,P0223,2026-07-03,2026-07-12,71,5775.90,Received
PO202607030013,SUP018,United Consumer Tech,P0310,2026-07-03,2026-07-12,30,8706.62,Approved
PO202607030014,SUP006,Smart Devices MENA,P0299,2026-07-03,2026-07-16,21,44352.73,Received
PO202607030014,SUP009,Arabian Electronics,P0184,2026-07-03,2026-07-07,94,5827.80,Received
PO202607030014,SUP007,HomeTech Distributors,P0092,2026-07-03,2026-07-15,25,1545.24,Open
PO202607030015,SUP008,Future Appliances,P0096,2026-07-03,2026-07-15,5,1645.43,Approved
