PurchaseOrderID,SupplierID,SupplierName,ProductID,OrderDate,ExpectedDeliveryDate,Quantity,UnitCost,POStatus
PO202607300000,SUP004,Cairo Digital Trading,P0174,2026-07-30,2026-08-09,58,24752.98,Received
PO202607300000,SUP012,Canal Trading Co.,P0307,2026-07-30,2026-08-10,15,3331.39,Received
PO202607300000,SUP015,Digital Gate,P0184,2026-07-30,2026-08-06,77,6072.11,Received
PO202607300001,SUP006,Smart Devices MENA,P0286,2026-07-30,2026-08-10,18,12056.95,Received
PO202607300001,SUP012,Canal Trading Co.,P0041,2026-07-30,2026-08-09,14,2111.72,Open
PO202607300001,SUP012,Canal Trading Co.,P0263,2026-07-30,2026-08-17,93,4748.49,Open
PO202607300002,SUP009,Arabian Electronics,P0300,2026-07-30,2026-08-14,74,21894.81,Received
PO202607300002,SUP016,Pioneer Retail Supplies,P0097,2026-07-30,2026-08-11,20,23171.27,Received
PO202607300002,SUP007,HomeTech Distributors,P0079,2026-07-30,2026-08-15,52,10893.21,Partial
PO202607300003,SUP003,Nile Retail Supply,P0319,2026-07-30,2026-08-06,85,10605.29,Approved
PO202607300003,SUP015,Digital Gate,P0170,2026-07-30,2026-08-04,6,13527.94,Partial
PO202607300003,SUP018,United Consumer Tech,P0294,2026-07-30,2026-08-12,66,17034.65,Received
PO202607300004,SUP002,Delta Electronics Supply,P0276,2026-07-30,2026-08-09,94,25293.01,Open
PO202607300004,SUP007,HomeTech Distributors,P0117,2026-07-30,2026-08-03,33,1597.82,Approved
PO202607300004,SUP012,Canal Trading Co.,P0306,2026-07-30,2026-08-02,49,4784.98,Received
PO202607300005,SUP010,Prime IT Supply,P0001,2026-07-30,2026-08-07,91,56695.59,Received
PO202607300005,SUP012,Canal Trading Co.,P0094,2026-07-30,2026-08-10,17,5438.69,Partial
PO202607300005,SUP018,United Consumer Tech,P0118,2026-07-30,2026-08-04,11,4785.56,Approved
PO202607300006,SUP017,ElectroHub Egypt,P0134,2026-07-30,2026-08-19,115,10130.79,Approved
PO202607300006,SUP008,Future Appliances,P0170,2026-07-30,2026-08-13,105,14867.56,Received
PO202607300006,SUP018,United Consumer Tech,P0119,2026-07-30,2026-08-10,86,2411.66,Partial
PO202607300007,SUP017,ElectroHub Egypt,P0060,2026-07-30,2026-08-11,36,16293.75,Received
PO202607300007,SUP009,Arabian Electronics,P0229,2026-07-30,2026-08-11,105,62783.61,Received
PO202607300007,SUP008,Future Appliances,P0318,2026-07-30,2026-08-05,54,37480.66,Received
PO202607300008,SUP018,United Consumer Tech,P0189,2026-07-30,2026-08-09,77,708.28,Open
PO202607300008,SUP014,MegaHome Supply,P0275,2026-07-30,2026-08-13,36,48326.24,Received
PO202607300008,SUP013,North Coast Distribution,P0265,2026-07-30,2026-08-11,9,56239.27,Partial
PO202607300009,SUP012,Canal Trading Co.,P0096,2026-07-30,2026-08-01,114,1516.33,Received
PO202607300009,SUP010,Prime IT Supply,P0113,2026-07-30,2026-08-04,102,3611.22,Open
PO202607300009,SUP001,Tech Distribution Egypt,P0078,2026-07-30,2026-08-11,81,23753.35,Approved
PO202607300010,SUP010,Prime IT Supply,P0078,2026-07-30,2026-08-07,75,20195.45,Partial
PO202607300010,SUP017,ElectroHub Egypt,P0105,2026-07-30,2026-08-08,95,39768.81,Open
PO202607300010,SUP009,Arabian Electronics,P0285,2026-07-30,2026-08-07,46,2023.40,Received
PO202607300011,SUP011,Global Accessories Egypt,P0117,2026-07-30,2026-08-10,61,1569.76,Partial
PO202607300011,SUP017,ElectroHub Egypt,P0073,2026-07-30,2026-08-12,10,16798.75,Approved
PO202607300011,SUP004,Cairo Digital Trading,P0008,2026-07-30,2026-08-17,69,624.66,Open
PO202607300012,SUP004,Cairo Digital Trading,P0211,2026-07-30,2026-08-17,90,3685.95,Partial
PO202607300012,SUP012,Canal Trading Co.,P0215,2026-07-30,2026-08-17,48,14801.26,Open
PO202607300012,SUP010,Prime IT Supply,P0314,2026-07-30,2026-08-13,88,10351.52,Partial
PO202607300013,SUP012,Canal Trading Co.,P0088,2026-07-30,2026-08-13,50,1598.71,Received
PO202607300013,SUP014,MegaHome Supply,P0196,2026-07-30,2026-08-03,103,2097.42,Open
PO202607300013,SUP014,MegaHome Supply,P0277,2026-07-30,2026-08-11,88,51472.76,Received
PO202607300014,SUP011,Global Accessories Egypt,P0244,2026-07-30,2026-08-18,90,2951.52,Open
